Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,143.7671424,28.19807965,7.19091282,1,11118.1,0.96,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,125.7690897,43.55702053,9.00199601,1,11157.5,0.38,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,138.7667218,40.44501546,7.89925639,1,11126,0.66,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,111.5373,51.5123,9.4011976,1,10649.4,0.38,,,0.24,446,,,0,
TRC 1,D636,MWRY,core,150.7421,13.2941,25.60581566,1,10619.5,2.9,1.87,4.8,0.31,442,166,12,6.67,0.28
Buffalo Gap Federal 35-1,T120,MWRY,core,120.893,28.19807985,7.19091282,1,11438,0.96,,,0.16,436,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
JAVA STATE 16-4,T482,MWRY,core,156.6595,4.723,7.16,1,10142,1.81,0.76,7.12,0.11,436,393,6,7.88,0.1
JAVA STATE 16-2,T482,MWRY,core,141.3719,4.5523,7.58,1,10138,1.95,0.88,6.46,0.11,437,331,6,7.34,0.12
EDUCATED GUESS 11-1H,S505,MWRY,core,93.569,9.3217,12.72,1,10538.8,1.33,0.09,3.41,0.23,444,256,17,3.5,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,117.4576,9.0619,20.76,1,10690.7,2.2,0.21,6.62,0.18,443,303,8,6.87,0.03
TRC 1,D636,MWRY,core,147.6676,12.1941,24.87315626,1,10653.5,3.02,1.79,4.91,0.23,441,163,13,6.7,0.27
EDUCATED GUESS 11-1H,S505,MWRY,core,158.775,10.5356,17.95,1,10656.7,2.13,0.2,7,0.19,441,329,9,7.2,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,126.1472,8.1033,19.22,1,10675.3,2.74,0.21,9.24,0.2,444,337,7,9.45,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,104.131,8.8336,11.77,1,10511.2,2.3,0.08,7.69,0.15,443,236,16,7.25,0.04
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12656,2.94,0.88,2.12,0.2,456,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,108.2966,7.0376,16.5,1,10528.4,2.22,0.12,3.09,0.17,445,253,14,3.21,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,175.932,10.0063,18.57,1,10644.7,2.47,0.27,8.36,0.18,440,338,7,8.63,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,162.8413,17.1207,19.06,1,10640.4,2.58,0.3,10.3,0.19,442,399,7,10.6,0.03
