Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,143.7671424,28.19807965,7.19091282,1,11118.1,0.96,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,125.7690897,43.55702053,9.00199601,1,11157.5,0.38,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,129.8777456,51.51238652,9.4011976,1,11161,0.38,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,151.3815751,32.3806475,7.7059662,1,11330.35,0.15,,,,,,,0,
SS 11-1H,S505,MWRY,core,113.312,6.4192,20.16,1,10557.2,2.29,0.16,7,0.24,444,306,10,7.16,0.02
Buffalo Gap Federal 35-1,T120,MWRY,core,143.7671424,28.19807965,7.19091282,1,11118.1,0.96,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,129.8777456,51.51238652,9.4011976,1,11161,0.38,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,138.7667218,40.44501546,7.89925639,1,11126,0.66,,,,,,,0,
Buffalo Gap Federal 35-1,T120,MWRY,core,143.7671424,28.19807965,7.19091282,1,11118.1,0.96,,,,,,,0,
ESS 11-1H,S505,MWRY,core,123.5692,9.8762,17.31,1,10677.4,1.32,0.26,3.19,0.16,445,242,12,3.45,0.08
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.47047238,9.500998,1,11145.1,0.55,,,,,,,0,
JAVA STATE 16-7,T482,MWRY,core,143.9635,4.2261,8.48,1,10162,0.77,0.38,2.57,0.27,436,334,12,2.95,0.13
Buffalo Gap Federal 35-1,T120,MWRY,core,230.4845228,11.09904826,7.19091282,1,11114.1,0.96,,,,,322,11,0,
EDUCATED GUESS 11-1H,S505,MWRY,core,117.4576,9.0619,20.76,1,10690.7,2.2,0.21,6.66,0.18,443,303,8,6.87,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,113.312,6.4192,20.16,1,10557.2,2.29,0.16,7,0.24,444,306,10,7.16,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,113.312,6.4192,20.16,1,10557.2,2.29,0.16,7,0.24,444,306,10,7.16,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,124.6601,16.4368,17.62,1,10646.5,2.1,0.25,6.31,0.16,442,300,8,6.56,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,175.932,10.0063,18.57,1,10644.7,2.47,0.27,8.36,0.18,440,338,7,8.63,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,201.954,7.3432,20.64,1,10721.5,0.84,0.09,2.02,0.26,442,241,31,2.11,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,142.4117,10.9485,17.16,1,10571.4,1.52,0.1,4.79,0.3,445,315,20,4.89,0.02
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12665.5,2.94,0.88,2.12,0.17,460,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,146.4782,5.5717,15.37,1,10517.3,0.36,0.08,0.52,0.23,447,144,64,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,137.3373,5.4714,15.37,1,10465.2,0.36,0.08,0.52,0.68,442,144,64,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,146.4722,5.5717,15.37,1,10517.3,0.36,0.08,0.52,0.28,440,144,64,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,111.5187,17.9478,19.65,1,10641.8,2.12,0.24,9.04,0.15,443,426,9,9.28,0.03
