Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
Buffalo Gap Federal 35-1,T120,FRNR,core,120.9927562,17.89535249,6.40602113,1,11029.70,1.9,0.48,2.45,0.16,451,129,8,2.93,0.16
Buffalo Gap Federal 35-1,T120,MWRY,core,130.1952544,23.63004797,8.7996089,1,11074.70,1.68,0.66,2.49,0.11,452,148,7,3.15,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,138.9803993,38.25781269,9.4011976,1,11154.60,0.68,0.58,1.01,0.23,449,149,34,1.59,0.36
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1872122,51.40554821,10,1,11161.50,2.89,0.99,5.15,0.25,448,178,9,6.14,0.16
Buffalo Gap Federal 35-1,T120,MWRY,core,142.6134917,44.09833258,7.70459082,1,11225.15,2.61,2.29,5.48,0.12,448,210,5,7.77,0.29
Buffalo Gap Federal 35-1,T120,MWRY,core,206.8546852,14.6704558,8.40823326,1,11320.00,2.61,1.58,4.43,0.22,446,170,8,6.01,0.26
1 FEDERAL,T120,FRNR,core,159.3511765,165.7932779,35.49597371,1,6058.00,2.08,0.24,6.18,0.37,423,297.1153846,17.78846154,6.42,0.037383178
1 FEDERAL,T120,MWRY,core,214.88,511.917371,23.83782254,1,6113.00,7.37,0.31,1.8,0.72,432,24.42333786,9.769335142,2.11,0.146919431
2 JACOBS,E419,MWRY,core,120.456132,6.99888661,7.361855758,1,9593.00,2.68,2.39,4.4,0.25,448,164,9,6.79,0.35
2 JACOBS,E419,MWRY,core,88.33446945,7.87093618,16.79775879,1,9601.00,0.7,0.21,0.69,0.08,449,99,11,0.9,0.23
6 MILLS,A558,MWRY,core,140.4816814,7.67665087,8.453478788,1,9223.00,1.85,1.68,3.28,0.22,446,177,12,4.96,0.34
6 MILLS,A558,MWRY,core,139.3052156,7.82207142,10.15297273,1,9224.00,2.92,2.52,6.22,0.27,442,213,9,8.74,0.29
6 MILLS,A558,MWRY,core,136.3566233,7.95712327,7.648923636,1,9227.00,2.89,2.73,6.79,0.2,441,235,7,9.52,0.29
6 MILLS,A558,MWRY,core,126.1670849,14.18651663,13.24511939,1,9338.00,2.53,2.13,5.37,0.23,444,212,9,7.5,0.28
