GR,ILD,Porosity,Avg. Depth,TOC
230.4845228,11.47047238,9.500998,11145.1,0.55
143.7671424,28.19807965,7.19091282,11118.1,0.96
230.4845228,11.47047238,9.500998,11145.1,0.55
230.4845228,11.47047238,9.500998,11145.1,0.55
230.4845228,11.47047238,9.500998,11145.1,0.55
230.4845228,11.47047238,9.500998,11145.1,0.55
125.7690897,43.55702053,9.00199601,11157.5,0.38
138.7667218,40.44501546,7.89925639,11126.0,0.66
111.5373,51.5123,9.4011976,10649.4,0.38
150.7421,13.2941,25.60581566,10619.5,2.9
120.893,28.19807985,7.19091282,11438.0,0.96
230.4845228,11.47047238,9.500998,11145.1,0.55
156.6595,4.723,7.16,10142.0,1.81
141.3719,4.5523,7.58,10138.0,1.95
93.569,9.3217,12.72,10538.8,1.33
117.4576,9.0619,20.76,10690.7,2.2
147.6676,12.1941,24.87315626,10653.5,3.02
158.775,10.5356,17.95,10656.7,2.13
126.1472,8.1033,19.22,10675.3,2.74
104.131,8.8336,11.77,10511.2,2.3
31.99191347,4.42934366,5.60797429,12656.0,2.94
108.2966,7.0376,16.5,10528.4,2.22
175.932,10.0063,18.57,10644.7,2.47
162.8413,17.1207,19.06,10640.4,2.58
104.131,8.8336,11.77,10511.2,0.91
174.7944,10.9247,16.5,10663.7,1.14
175.932,10.0063,18.57,10644.7,2.47
146.3353,13.1522,19.1,10643.1,2.4
130.1142,23.2934,15.37,10604.4,0.36
142.4117,10.9485,17.16,10571.4,1.52
129.6184,21.6216,19.19,10607.8,2.43
157.6835,12.0433,19.21,10635.6,2.47
160.957,14.1393,19.81,10630.6,2.06
212.5262,4.1598,19.41,10615.5,4.0
142.4117,10.9485,17.16,10571.4,1.52
150.9407,19.0939,19.64,10638.8,2.16
142.4476,15.8354,18.68,10642.7,2.28
136.4613,13.6618,18.21,10651.7,2.36
137.4531,14.4324,17.4,10633.7,1.14
120.0979,14.0496,18.03,10618.5,2.62
156.984,15.5351,19.78,10626.8,4.45
158.4774,11.4337,18.88,10654.8,1.81
31.99191347,4.42934366,13.03090728,12674.0,2.46
120.226,33.7,8.88,10912.5,2.13
146.2057,3.9927,6.1,10118.5,1.29
111.53712,26.45286186,25.60581566,9926.5,2.9
125.7693818,43.55702053,9.00199601,11157.5,0.38
146.2253,3.9927,6.1,10118.5,1.29
125.7690896,43.55702053,9.00199601,11157.5,0.38
164.2583,11.1393,9.7,10200.5,3.36
164.2583,11.1393,9.7,10200.5,3.36
